email_id,campaign_type,subject_line,sent_date,device_type,region,customer_segment,delivered,opened,clicked,converted,unsubscribed,bounced,sent_week
EM100000,Promotional,Version_A,2025-01-25,Desktop,North,Returning,1,0,0,0,0,0,2025-01-20
EM100001,Newsletter,Version_A,2025-06-12,Mobile,East,New,1,0,0,0,0,0,2025-06-09
EM100002,Newsletter,Version_A,2025-06-06,Mobile,South,Returning,1,0,0,0,0,0,2025-06-02
EM100003,Promotional,Version_B,2025-01-23,Desktop,North,New,0,0,0,0,0,1,2025-01-20
EM100004,Welcome,Version_A,2025-01-07,Mobile,South,Returning,1,1,0,0,0,0,2025-01-06
EM100005,Welcome,Version_B,2025-02-21,Desktop,North,New,1,0,0,0,0,0,2025-02-17
EM100006,Welcome,Version_A,2025-03-09,Tablet,North,Returning,1,0,0,0,0,0,2025-03-03
EM100007,Newsletter,Version_B,2025-05-31,Mobile,North,VIP,1,1,0,0,0,0,2025-05-26
EM100008,Promotional,Version_B,2025-05-11,Desktop,West,New,1,0,0,0,0,0,2025-05-05
EM100009,Newsletter,Version_B,2025-01-12,Mobile,West,Returning,1,1,0,0,0,0,2025-01-06
EM100010,Welcome,Version_B,2025-01-20,Mobile,North,Returning,1,1,1,0,0,0,2025-01-20
EM100011,Newsletter,Version_B,2025-01-03,Mobile,North,New,1,0,0,0,0,0,2024-12-30
EM100012,Newsletter,Version_B,2025-05-09,Mobile,North,VIP,1,0,0,0,0,0,2025-05-05
EM100013,Welcome,Version_A,2024-12-18,Mobile,North,New,1,0,0,0,1,0,2024-12-16
EM100014,Welcome,Version_B,2025-05-02,Mobile,East,New,1,0,0,0,0,0,2025-04-28
EM100015,Welcome,Version_A,2025-03-10,Desktop,East,Returning,1,0,0,0,0,0,2025-03-10
EM100016,Promotional,Version_A,2025-02-04,Desktop,East,New,1,1,0,0,0,0,2025-02-03
EM100017,Promotional,Version_A,2025-01-26,Tablet,West,New,1,1,1,1,0,0,2025-01-20
EM100018,Promotional,Version_A,2025-05-05,Desktop,South,Returning,1,0,0,0,0,0,2025-05-05
EM100019,Promotional,Version_A,2025-04-15,Mobile,North,Returning,1,0,0,0,0,0,2025-04-14
EM100020,Promotional,Version_A,2025-06-05,Mobile,East,Returning,1,0,0,0,0,0,2025-06-02
EM100021,Welcome,Version_A,2025-05-19,Mobile,East,Returning,1,0,0,0,0,0,2025-05-19
EM100022,Promotional,Version_B,2025-04-25,Mobile,East,New,1,0,0,0,0,0,2025-04-21
EM100023,Promotional,Version_A,2025-05-07,Desktop,North,Returning,1,0,0,0,0,0,2025-05-05
EM100024,Promotional,Version_B,2025-05-29,Mobile,North,New,1,1,1,1,1,0,2025-05-26
EM100025,Newsletter,Version_A,2025-05-14,Mobile,South,VIP,1,1,1,0,0,0,2025-05-12
EM100026,Welcome,Version_B,2025-03-01,Mobile,West,New,1,0,0,0,0,0,2025-02-24
