email_id,campaign_type,subject_line,sent_date,device_type,region,customer_segment,delivered,opened,clicked,converted,unsubscribed
EM100000,Promotional,Version_A,2025-01-25,Desktop,North,Returning,1,0,0,0,0
EM100001,Newsletter,Version_A,2025-06-12,Mobile,East,New,1,0,0,0,0
EM100002,Newsletter,Version_A,2025-06-06,Mobile,South,Returning,1,0,0,0,0
EM100003,Promotional,Version_B,2025-01-23,Desktop,North,New,0,0,0,0,0
EM100004,Welcome,Version_A,2025-01-07,Mobile,South,Returning,1,1,0,0,0
EM100005,Welcome,Version_B,2025-02-21,Desktop,North,New,1,0,0,0,0
EM100006,Welcome,Version_A,2025-03-09,Tablet,North,Returning,1,0,0,0,0
EM100007,Newsletter,Version_B,2025-05-31,Mobile,North,VIP,1,1,0,0,0
EM100008,Promotional,Version_B,2025-05-11,Desktop,West,New,1,0,0,0,0
EM100009,Newsletter,Version_B,2025-01-12,Mobile,West,Returning,1,1,0,0,0
EM100010,Welcome,Version_B,2025-01-20,Mobile,North,Returning,1,1,1,0,0
EM100011,Newsletter,Version_B,2025-01-03,Mobile,North,New,1,0,0,0,0
EM100012,Newsletter,Version_B,2025-05-09,Mobile,North,VIP,1,0,0,0,0
EM100013,Welcome,Version_A,2024-12-18,Mobile,North,New,1,0,0,0,1
EM100014,Welcome,Version_B,2025-05-02,Mobile,East,New,1,0,0,0,0
EM100015,Welcome,Version_A,2025-03-10,Desktop,East,Returning,1,0,0,0,0
EM100016,Promotional,Version_A,2025-02-04,Desktop,East,New,1,1,0,0,0
EM100017,Promotional,Version_A,2025-01-26,Tablet,West,New,1,1,1,1,0
EM100018,Promotional,Version_A,2025-05-05,Desktop,South,Returning,1,0,0,0,0
EM100019,Promotional,Version_A,2025-04-15,Mobile,North,Returning,1,0,0,0,0
EM100020,Promotional,Version_A,2025-06-05,Mobile,East,Returning,1,0,0,0,0
EM100021,Welcome,Version_A,2025-05-19,Mobile,East,Returning,1,0,0,0,0
EM100022,Promotional,Version_B,2025-04-25,Mobile,East,New,1,0,0,0,0
EM100023,Promotional,Version_A,2025-05-07,Desktop,North,Returning,1,0,0,0,0
EM100024,Promotional,Version_B,2025-05-29,Mobile,North,New,1,1,1,1,1
EM100025,Newsletter,Version_A,2025-05-14,Mobile,South,VIP,1,1,1,0,0
EM100026,Welcome,Version_B,2025-03-01,Mobile,West,New,1,0,0,0,0
EM100027,Promotional,Version_B,2025-05-11,Mobile,South,New,1,1,0,0,0
EM100028,Promotional,Version_B,2025-03-07,Mobile,North,VIP,1,1,0,0,0
EM100029,Welcome,Version_B,2025-05-12,Mobile,South,VIP,1,1,0,0,0
EM100030,Promotional,Version_A,2025-06-02,Desktop,East,Returning,0,0,0,0,0
EM100031,Welcome,Version_B,2025-02-21,Mobile,South,New,1,0,0,0,0
EM100032,Welcome,Version_B,2024-12-28,Desktop,East,Returning,1,0,0,0,0
EM100033,Newsletter,Version_B,2025-02-22,Mobile,South,New,1,1,0,0,0
EM100034,Newsletter,Version_B,2024-12-19,Mobile,East,Returning,1,0,0,0,0
EM100035,Newsletter,Version_A,2025-05-15,Desktop,South,New,1,0,0,0,0
EM100036,Promotional,Version_B,2025-05-20,Desktop,West,New,1,1,0,0,0
EM100037,Welcome,Version_A,2024-12-16,Mobile,South,Returning,1,0,0,0,0
EM100038,Promotional,Version_B,2024-12-20,Desktop,North,New,1,1,1,0,0
EM100039,Promotional,Version_A,2025-01-17,Mobile,North,Returning,1,0,0,0,0
EM100040,Welcome,Version_B,2025-01-05,Mobile,East,Returning,1,1,0,0,0
EM100041,Promotional,Version_A,2025-04-25,Desktop,North,Returning,1,0,0,0,0
EM100042,Welcome,Version_A,2025-04-06,Desktop,East,New,1,0,0,0,0
EM100043,Newsletter,Version_B,2025-04-27,Mobile,West,VIP,1,0,0,0,0
EM100044,Promotional,Version_B,2025-02-19,Mobile,North,New,1,0,0,0,0
EM100045,Promotional,Version_B,2025-03-01,Desktop,North,New,1,1,0,0,0
EM100046,Promotional,Version_A,2025-03-14,Mobile,East,Returning,1,1,0,0,0
EM100047,Promotional,Version_A,2025-04-09,Mobile,West,New,1,0,0,0,1
EM100048,Promotional,Version_B,2025-03-11,Mobile,West,New,1,0,0,0,0
EM100049,Welcome,Version_B,2025-02-20,Tablet,South,New,1,0,0,0,0
EM100050,Newsletter,Version_B,2025-05-25,Mobile,East,VIP,1,0,0,0,0
EM100051,Newsletter,Version_A,2025-03-25,Desktop,East,VIP,1,0,0,0,0
EM100052,Newsletter,Version_B,2025-05-25,Desktop,West,Returning,0,0,0,0,0
EM100053,Newsletter,Version_A,2025-02-09,Mobile,East,New,1,0,0,0,0
EM100054,Promotional,Version_B,2025-05-28,Desktop,North,New,1,0,0,0,0
EM100055,Newsletter,Version_A,2025-04-27,Tablet,North,New,1,0,0,0,0
EM100056,Welcome,Version_A,2025-02-23,Mobile,North,New,1,1,0,0,0
EM100057,Welcome,Version_B,2025-06-05,Mobile,East,New,1,0,0,0,0
EM100058,Welcome,Version_B,2025-06-01,Tablet,South,Returning,1,1,1,0,0
EM100059,Promotional,Version_A,2025-03-27,Desktop,South,Returning,1,0,0,0,0
EM100060,Promotional,Version_A,2025-04-26,Mobile,West,New,1,0,0,0,0
EM100061,Promotional,Version_A,2025-02-12,Desktop,East,Returning,1,0,0,0,0
EM100062,Newsletter,Version_B,2025-05-08,Desktop,West,Returning,1,1,0,0,0
EM100063,Promotional,Version_A,2025-04-02,Desktop,East,Returning,1,0,0,0,0
EM100064,Promotional,Version_A,2025-03-25,Tablet,South,New,1,0,0,0,0
EM100065,Promotional,Version_B,2025-06-15,Mobile,North,VIP,1,1,0,0,0
EM100066,Welcome,Version_B,2024-12-23,Mobile,East,Returning,1,0,0,0,0
EM100067,Newsletter,Version_B,2025-04-25,Desktop,South,New,1,0,0,0,0
EM100068,Welcome,Version_B,2025-06-02,Mobile,South,Returning,1,0,0,0,0
EM100069,Newsletter,Version_B,2025-06-06,Desktop,South,New,1,0,0,0,0
EM100070,Newsletter,Version_B,2025-02-26,Mobile,North,Returning,1,0,0,0,0
EM100071,Welcome,Version_B,2025-03-20,Mobile,South,Returning,1,0,0,0,0
EM100072,Welcome,Version_B,2025-04-22,Mobile,West,Returning,1,1,0,0,0
EM100073,Newsletter,Version_A,2025-03-11,Desktop,South,Returning,1,1,0,0,0
EM100074,Newsletter,Version_B,2025-04-08,Desktop,South,Returning,1,0,0,0,0
EM100075,Newsletter,Version_A,2025-05-08,Mobile,East,New,1,0,0,0,0
EM100076,Newsletter,Version_A,2025-04-09,Mobile,East,New,1,0,0,0,0
EM100077,Welcome,Version_A,2025-04-21,Mobile,East,New,0,0,0,0,0
EM100078,Promotional,Version_A,2025-03-15,Desktop,South,New,1,0,0,0,0
EM100079,Welcome,Version_B,2025-03-03,Mobile,South,New,1,1,1,0,0
EM100080,Newsletter,Version_B,2025-04-11,Desktop,West,Returning,1,1,0,0,0
EM100081,Promotional,Version_B,2024-12-21,Mobile,North,New,1,0,0,0,0
EM100082,Promotional,Version_B,2025-04-26,Mobile,South,Returning,1,1,0,0,0
EM100083,Welcome,Version_A,2025-06-12,Desktop,North,Returning,1,0,0,0,0
EM100084,Promotional,Version_A,2025-04-09,Mobile,South,New,1,0,0,0,0
EM100085,Promotional,Version_B,2025-03-27,Mobile,North,Returning,0,0,0,0,0
